date,event
17-Jul-23,registration of returning students begin
31-Jul-23,arrival and registration of first year stuents
02-Aug-23,orientation of first year students begin
03-Aug-23,orientation of first year students begin
04-Aug-23,orientation of first year students begin
05-Aug-23,arrival of returning students
05-Aug-23,orientation of first year students end
07-Aug-23,lectures for all students begin
07-Aug-23,late registration commences
07-Aug-23,special examinations begin
10-Aug-23,special examinations end
11-Aug-23,matriculation and interactive event
21-Aug-23,Election week - semester break
22-Aug-23,Election week - semester break
23-Aug-23,Election week - semester break
24-Aug-23,Election week - semester break
25-Aug-23,Election week - semester break
28-Aug-23,lectures resume
11-Sep-23,ict committee meeting
13-Sep-23,library committee meeting
15-Sep,late registration ends
11-Oct-23,business senate meeting
12-Oct-23,mid semester break begins
16-Oct-23,lectures resume
14-Nov-23,business senate meeting
16-Nov-23,last day of classes of semester
17-Nov-23,reading day
20-Nov-23,examinations begin
01-Dec-23,examinations end
